Param Set 0
Nominal, Upper, Lower, Experimental
     0.000000,      0.000000,      0.000000,      0.000000
     0.000000,      0.000000,      0.000000,      0.000000
     0.000000,      0.000000,      0.000000,      0.000000
     0.000000,      0.000000,      0.000000,      0.000000
     0.000000,      0.000000,      0.000000,      0.000000
     0.000629,      0.001147,      0.000111,      0.000000
     0.001257,      0.002293,      0.000221,      0.000058
     0.001551,      0.002829,      0.000273,      0.000082
     0.001845,      0.003364,      0.000325,      0.000179
     0.006689,      0.012199,      0.001178,      0.000468
     0.011532,      0.021034,      0.002031,      0.000974
     0.027241,      0.049684,      0.004798,      0.002069
     0.042949,      0.078334,      0.007564,      0.001584
     0.052834,      0.096363,      0.009305,      0.002386
     0.062719,      0.114392,      0.011046,      0.003212
     0.077763,      0.141831,      0.013696,      0.002542
     0.092807,      0.169269,      0.016345,      0.003098
     0.100155,      0.182671,      0.017639,      0.001676
     0.107503,      0.196073,      0.018933,      0.003134
     0.113986,      0.207896,      0.020075,      0.003165
     0.120468,      0.219719,      0.021217,      0.002786
     0.118296,      0.215758,      0.020834,      0.003223
     0.116124,      0.211797,      0.020452,      0.002703
     0.116560,      0.212592,      0.020528,      0.002900
     0.116996,      0.213386,      0.020605,      0.002845
     0.116474,      0.212435,      0.020513,      0.002789
     0.115952,      0.211483,      0.020421,      0.002578
     0.117440,      0.214196,      0.020683,      0.002901
     0.118927,      0.216909,      0.020945,      0.003598
     0.120455,      0.219695,      0.021214,      0.003369
     0.121983,      0.222482,      0.021483,      0.002505
     0.119618,      0.218169,      0.021067,      0.003338
     0.117253,      0.213856,      0.020651,      0.002533
     0.111527,      0.203413,      0.019642,      0.002581
     0.105802,      0.192970,      0.018634,      0.001907
     0.098900,      0.180382,      0.017418,      0.002618
     0.091999,      0.167795,      0.016203,      0.002253
     0.086040,      0.156926,      0.015153,      0.003162
     0.080080,      0.146056,      0.014104,      0.002076
     0.074465,      0.135815,      0.013115,      0.002164
     0.068849,      0.125573,      0.012126,      0.001710
     0.063234,      0.115332,      0.011137,      0.003181
     0.057619,      0.105090,      0.010148,      0.002231
     0.052004,      0.094848,      0.009159,      0.002323
     0.049691,      0.090630,      0.008752,      0.001652
     0.047378,      0.086412,      0.008344,      0.002157
     0.045066,      0.082195,      0.007937,      0.002442
     0.042753,      0.077977,      0.007530,      0.002395
     0.040440,      0.073759,      0.007122,      0.001817
     0.038128,      0.069541,      0.006715,      0.001884
     0.035815,      0.065323,      0.006308,      0.001815
     0.033503,      0.061105,      0.005900,      0.002009
     0.032005,      0.058374,      0.005637,      0.001842
     0.030508,      0.055642,      0.005373,      0.001869
     0.029010,      0.052911,      0.005109,      0.001813
     0.027513,      0.050180,      0.004846,      0.001371
     0.026015,      0.047449,      0.004582,      0.001342
     0.024518,      0.044718,      0.004318,      0.001777
     0.023020,      0.041986,      0.004054,      0.001632
     0.021523,      0.039255,      0.003791,      0.001454
     0.020647,      0.037658,      0.003636,      0.000954
     0.019772,      0.036062,      0.003482,      0.001372
     0.018896,      0.034465,      0.003328,      0.001512
     0.018021,      0.032868,      0.003174,      0.001310
     0.017145,      0.031271,      0.003020,      0.001328
     0.016270,      0.029674,      0.002865,      0.001103
     0.015394,      0.028077,      0.002711,      0.001578
     0.014519,      0.026480,      0.002557,      0.001245
     0.013994,      0.025523,      0.002465,      0.001663
     0.013469,      0.024565,      0.002372,      0.000996
     0.012944,      0.023608,      0.002280,      0.001842
     0.012419,      0.022651,      0.002187,      0.001377
     0.011894,      0.021693,      0.002095,      0.001198
     0.011369,      0.020736,      0.002002,      0.001021
     0.010844,      0.019778,      0.001910,      0.001217
     0.010319,      0.018821,      0.001817,      0.001556
     0.010012,      0.018261,      0.001763,      0.001304
     0.009706,      0.017702,      0.001709,      0.001472
     0.009399,      0.017142,      0.001655,      0.001318
     0.009092,      0.016583,      0.001601,      0.001320
     0.008785,      0.016023,      0.001547,      0.001259
     0.008478,      0.015464,      0.001493,      0.001644
     0.008172,      0.014904,      0.001439,      0.001329
     0.007865,      0.014344,      0.001385,      0.001151
     0.007558,      0.013785,      0.001331,      0.001287
     0.007251,      0.013225,      0.001277,      0.001202
     0.006944,      0.012666,      0.001223,      0.000913
     0.006638,      0.012106,      0.001169,      0.001313
     0.006331,      0.011547,      0.001115,      0.001606
     0.006024,      0.010987,      0.001061,      0.001425
     0.005905,      0.010769,      0.001040,      0.000947
     0.005785,      0.010552,      0.001019,      0.001383
     0.005666,      0.010334,      0.000998,      0.001511
     0.005547,      0.010116,      0.000977,      0.001943
     0.005427,      0.009899,      0.000956,      0.001250
     0.005308,      0.009681,      0.000935,      0.001704
     0.005189,      0.009463,      0.000914,      0.001283
     0.005069,      0.009246,      0.000893,      0.000998
     0.004950,      0.009028,      0.000872,      0.000861
     0.004831,      0.008810,      0.000851,      0.001783
     0.004711,      0.008593,      0.000830,      0.001209
     0.004592,      0.008375,      0.000809,      0.001135
     0.004472,      0.008157,      0.000788,      0.001111
     0.004353,      0.007940,      0.000767,      0.001503
     0.004234,      0.007722,      0.000746,      0.001284
     0.004114,      0.007504,      0.000725,      0.001315
     0.003995,      0.007287,      0.000704,      0.001132
     0.003876,      0.007069,      0.000683,      0.000945
     0.003756,      0.006851,      0.000662,      0.001680
     0.003637,      0.006633,      0.000641,      0.001359
     0.003570,      0.006512,      0.000629,      0.000950
     0.003504,      0.006390,      0.000617,      0.001226
     0.003437,      0.006269,      0.000605,      0.001232
     0.003370,      0.006147,      0.000594,      0.001121
     0.003304,      0.006026,      0.000582,      0.001040
     0.003237,      0.005904,      0.000570,      0.001075
     0.003171,      0.005783,      0.000558,      0.001011
     0.003104,      0.005661,      0.000547,      0.001168
     0.003037,      0.005540,      0.000535,      0.001045
     0.002971,      0.005418,      0.000523,      0.001375
     0.002904,      0.005297,      0.000511,      0.001135
