Time, Compound, Marker, Metabolite, Total, 
0.5, 0, 0, 0, 0, 
1, 0, 0, 0, 0, 
1.5, 0, 0, 0, 0, 
2, 0, 0, 0, 0, 
2.5, 0, 0, 0, 0, 
3, 0, 0, 0, 0, 
3.5, 0.000154286, 0, 0, 7.71429e-05, 
4, 0.000128571, 6e-05, 1.42857e-06, 0.000138571, 
4.5, 0.000271429, 0.000197143, 0, 0.000247143, 
5, 0.000582857, 0.000545714, 0, 0.000744286, 
5.5, 0.00103429, 0.00148571, 0, 0.00137714, 
6, 0.00225143, 0.00308286, 0, 0.00294, 
6.5, 0.0021, 0.00196571, 1.42857e-06, 0.00227, 
7, 0.00286286, 0.00293143, 0, 0.00374857, 
7.5, 0.00387429, 0.00433143, 2.85714e-06, 0.00464, 
8, 0.00325714, 0.00323714, 1.42857e-06, 0.00367286, 
8.5, 0.0034, 0.00455714, 1.42857e-06, 0.00443429, 
9, 0.00237429, 0.00185143, 8.57143e-06, 0.00247143, 
9.5, 0.00348, 0.00460286, 7.14286e-06, 0.00444714, 
10, 0.00397429, 0.00414286, 4.28571e-06, 0.00454, 
10.5, 0.00321143, 0.00406286, 2.85714e-06, 0.00386857, 
11, 0.00446286, 0.00379429, 1.14286e-05, 0.00462286, 
11.5, 0.0036, 0.00337429, 2.85714e-06, 0.00383571, 
12, 0.00361429, 0.00380857, 7.14286e-06, 0.00416857, 
12.5, 0.00384286, 0.00346, 1.42857e-06, 0.00407714, 
13, 0.00361429, 0.00358286, 4.28571e-06, 0.00395286, 
13.5, 0.00318857, 0.00346571, 4.28571e-06, 0.00365286, 
14, 0.00388, 0.00354857, 8.57143e-06, 0.00416857, 
14.5, 0.00492571, 0.00446857, 8.57143e-06, 0.00499, 
15, 0.00453714, 0.00391714, 1.42857e-06, 0.00502, 
15.5, 0.00255143, 0.00393143, 5.71429e-06, 0.00353, 
16, 0.00391143, 0.00476857, 7.14286e-06, 0.00466286, 
16.5, 0.00314857, 0.00336, 4.28571e-06, 0.00362, 
17, 0.00343143, 0.00281429, 2.85714e-06, 0.00407714, 
17.5, 0.00246857, 0.00223714, 7.14286e-06, 0.00291429, 
18, 0.00355429, 0.00326571, 8.57143e-06, 0.00364143, 
18.5, 0.00312, 0.00222571, 1e-05, 0.00365714, 
19, 0.00387429, 0.00421714, 1.42857e-05, 0.00454286, 
19.5, 0.00296571, 0.00229143, 5.71429e-06, 0.00304143, 
20, 0.00248857, 0.00307429, 1e-05, 0.00308429, 
20.5, 0.00192, 0.00221143, 1e-05, 0.0027, 
21, 0.00434571, 0.00405143, 7.14286e-06, 0.00432, 
21.5, 0.00298, 0.00288, 1e-05, 0.00305286, 
22, 0.00318857, 0.00283143, 7.14286e-06, 0.00326286, 
22.5, 0.00166571, 0.00238, 1.14286e-05, 0.00255286, 
23, 0.00259714, 0.00298, 5.71429e-06, 0.00304571, 
23.5, 0.00333714, 0.00292571, 1.14286e-05, 0.00349429, 
24, 0.00288286, 0.00327429, 1.57143e-05, 0.00340857, 
24.5, 0.00221714, 0.00228286, 2.85714e-06, 0.00276571, 
25, 0.00236, 0.00242, 1e-05, 0.00274714, 
25.5, 0.00268857, 0.00201714, 7.14286e-06, 0.00254714, 
26, 0.00284, 0.00234857, 8.57143e-06, 0.00283857, 
26.5, 0.00218857, 0.00241714, 7.14286e-06, 0.00275429, 
27, 0.00245714, 0.0023, 7.14286e-06, 0.00271143, 
27.5, 0.00195714, 0.00245429, 8.57143e-06, 0.00283286, 
28, 0.00157143, 0.00185429, 7.14286e-06, 0.00205, 
28.5, 0.00147429, 0.00195429, 5.71429e-06, 0.00193571, 
29, 0.00244286, 0.00182286, 7.14286e-06, 0.00283571, 
29.5, 0.0016, 0.00246857, 7.14286e-06, 0.00245286, 
30, 0.00192571, 0.00168857, 7.14286e-06, 0.00219429, 
30.5, 0.00127143, 0.00110286, 1.28571e-05, 0.00142714, 
31, 0.00143429, 0.00202571, 7.14286e-06, 0.00202, 
31.5, 0.00184, 0.00190286, 1.14286e-05, 0.00229571, 
32, 0.00151714, 0.00174, 1e-05, 0.00197286, 
32.5, 0.00176, 0.00161429, 8.57143e-06, 0.00193, 
33, 0.00137143, 0.00146571, 5.71429e-06, 0.00156857, 
33.5, 0.00212, 0.00192571, 1e-05, 0.00225714, 
