Param Set 0
Time, Compound, Marker, 
6.9, 0, 4.29497e+09, 
7.1, -8.63957e-07, -8.55787e-07, 
7.6, 0.00282293, 0.00277512, 
8.1, 0.092039, 0.0890591, 
8.6, 0.266188, 0.253748, 
9.1, 0.399704, 0.375419, 
9.6, 0.464933, 0.430308, 
10.1, 0.479331, 0.437197, 
10.6, 0.463605, 0.416759, 
11.1, 0.432484, 0.383228, 
11.6, 0.394943, 0.345022, 
12.1, 0.355973, 0.306644, 
12.6, 0.318184, 0.270316, 
13.1, 0.282911, 0.237074, 
13.6, 0.250792, 0.207336, 
14.1, 0.222001, 0.181115, 
14.6, 0.196391, 0.158153, 
15.1, 0.173677, 0.138084, 
15.6, 0.153592, 0.120587, 
16.1, 0.135917, 0.105403, 
16.6, 0.120414, 0.0922712, 
17.1, 0.1068, 0.0808958, 
17.6, 0.0948006, 0.0709958, 
18.1, 0.0842168, 0.0623702, 
18.6, 0.0749148, 0.0548854, 
19.1, 0.0667578, 0.048409, 
19.6, 0.0595776, 0.0427792, 
20.1, 0.0532169, 0.0378458, 
20.6, 0.0475778, 0.033517, 
21.1, 0.0426057, 0.0297453, 
21.6, 0.0382346, 0.0264721, 
22.1, 0.0343676, 0.0236088, 
22.6, 0.0309154, 0.0210732, 
23.1, 0.0278345, 0.0188281, 
23.6, 0.0251104, 0.0168647, 
24.1, 0.0227113, 0.0151576, 
24.6, 0.0205767, 0.0136528, 
25.1, 0.0186532, 0.0123022, 
25.6, 0.016925, 0.0110941, 
26.1, 0.0153954, 0.0100361, 
26.6, 0.0140481, 0.00911642, 
27.1, 0.0128414, 0.00829786, 
27.6, 0.0117417, 0.00755021, 
28.1, 0.0107468, 0.0068742, 
28.6, 0.00986792, 0.00628351, 
29.1, 0.00909527, 0.00577157, 
29.6, 0.00839736, 0.00530985, 
30.1, 0.00775191, 0.00487831, 
30.6, 0.00716432, 0.00448393, 
31.1, 0.00664816, 0.00414196, 
31.6, 0.00619624, 0.00384731, 
32.1, 0.00578303, 0.00357644, 
32.6, 0.00539348, 0.00331564, 
33.1, 0.00503697, 0.00307514, 
33.6, 0.00472722, 0.0028697, 
34.1, 0.00445767, 0.00269421, 
34.6, 0.00420662, 0.00252829, 
35.1, 0.00396398, 0.00236261, 
35.6, 0.00374122, 0.00220903, 
36.1, 0.00355116, 0.00208102, 
36.6, 0.00338696, 0.00197276, 
37.1, 0.00322968, 0.00186621, 
37.6, 0.00307287, 0.00175529, 
38.1, 0.00292904, 0.00165263, 
38.6, 0.0028096, 0.00157004, 
39.1, 0.0027071, 0.00150085, 
39.6, 0.00260479, 0.0014289, 
40.1, 0.002499, 0.00135065, 
40.6, 0.00240269, 0.00127903, 
41.1, 0.00232562, 0.00122408, 
41.6, 0.00225969, 0.00117827, 
42.1, 0.00218998, 0.0011271, 
42.6, 0.00211509, 0.00106915, 
43.1, 0.00204802, 0.00101729, 
43.6, 0.00199681, 0.000979783, 
44.1, 0.00195276, 0.00094839, 
44.6, 0.00190262, 0.000910116, 
45.1, 0.00184685, 0.000865333, 
45.6, 0.00179822, 0.000826642, 
46.1, 0.00176308, 0.000800569, 
46.6, 0.00173224, 0.000778309, 
47.1, 0.00169398, 0.00074832, 
47.6, 0.00165036, 0.000712486, 
48.1, 0.0016137, 0.000682969, 
48.6, 0.00158875, 0.000664664, 
49.1, 0.00156592, 0.000648336, 
49.6, 0.001535, 0.000623857, 
50.1, 0.00149936, 0.0005944, 
50.6, 0.00147075, 0.000571557, 
51.1, 0.00145237, 0.000558695, 
51.6, 0.00143444, 0.000546301, 
52.1, 0.00140813, 0.00052562, 
52.6, 0.00137795, 0.000500921, 
53.1, 0.00135495, 0.000483123, 
53.6, 0.00134093, 0.000474171, 
54.1, 0.00132597, 0.000464421, 
54.6, 0.00130266, 0.000446455, 
55.1, 0.00127641, 0.00042546, 
55.6, 0.0012575, 0.000411601, 
56.1, 0.0012464, 0.00040551, 
56.6, 0.00123326, 0.000397549, 
57.1, 0.00121196, 0.000381596, 
57.6, 0.0011887, 0.000363596, 
58.1, 0.00117289, 0.00035289, 
58.6, 0.00116382, 0.000348915, 
59.1, 0.00115176, 0.000342159, 
59.6, 0.00113191, 0.000327757, 
60.1, 0.00111103, 0.000312256, 
60.6, 0.00109768, 0.000304124, 
61.1, 0.00109001, 0.000301715, 
61.6, 0.0010786, 0.000295759, 
62.1, 0.00105985, 0.000282596, 
62.6, 0.001041, 0.000269236, 
63.1, 0.00102963, 0.000263234, 
63.6, 0.00102296, 0.000261974, 
64.1, 0.00101192, 0.000256533, 
64.6, 0.000994082, 0.0002444, 
65.1, 0.000976998, 0.000232912, 
65.6, 0.000967301, 0.000228685, 
66.1, 0.000961336, 0.000228252, 
66.6, 0.000950491, 0.000223121, 
67.1, 0.000933465, 0.000211876, 
67.6, 0.000917982, 0.000202052, 
68.1, 0.0009097, 0.000199312, 
68.6, 0.000904226, 0.000199448, 
69.1, 0.000893487, 0.000194487, 
69.6, 0.000877219, 0.000184033, 
70.1, 0.000863212, 0.000175704, 
70.6, 0.000856147, 0.000174208, 
71.1, 0.000851003, 0.000174709, 
71.6, 0.000840319, 0.000169817, 
72.1, 0.00082479, 0.000160091, 
72.6, 0.000812164, 0.000153119, 
73.1, 0.000806147, 0.000152659, 
73.6, 0.000801212, 0.000153359, 
74.1, 0.00079056, 0.000148471, 
74.6, 0.00077577, 0.00013943, 
75.1, 0.000764442, 0.000133696, 
75.6, 0.000759331, 0.000134089, 
76.1, 0.000754508, 0.000134854, 
76.6, 0.000743885, 0.000129931, 
77.1, 0.000729844, 0.000121549, 
77.6, 0.000719741, 0.000116946, 
78.1, 0.000715407, 0.000118034, 
78.6, 0.00071062, 0.000118755, 
79.1, 0.000700039, 0.000113776, 
79.6, 0.000686759, 0.000106037, 
80.1, 0.000677813, 0.000102471, 
80.6, 0.000674138, 0.000104111, 
81.1, 0.000669327, 0.000104702, 
81.6, 0.000658809, 9.96622e-05, 
82.1, 0.000646305, 9.25581e-05, 
82.6, 0.000638446, 8.9939e-05, 
83.1, 0.000635324, 9.2004e-05, 
83.6, 0.000630442, 9.23968e-05, 
84.1, 0.000620015, 8.73033e-05, 
84.6, 0.000608301, 8.08287e-05, 
85.1, 0.000601462, 7.90729e-05, 
85.6, 0.000598793, 8.1448e-05, 
86.1, 0.000593804, 8.15908e-05, 
86.6, 0.0005835, 7.64608e-05, 
87.1, 0.000572586, 7.06125e-05, 
87.6, 0.000566697, 6.96399e-05, 
88.1, 0.00056439, 7.22219e-05, 
88.6, 0.000559269, 7.20769e-05, 
89.1, 0.000549125, 6.69343e-05, 
89.6, 0.000539016, 6.17096e-05, 
90.1, 0.000534008, 6.14424e-05, 
90.6, 0.000531977, 6.41389e-05, 
91.1, 0.000526708, 6.36803e-05, 
91.6, 0.00051676, 5.85544e-05, 
92.1, 0.00050746, 5.39496e-05, 
92.6, 0.000503261, 5.43122e-05, 
93.1, 0.000501429, 5.70402e-05, 
93.6, 0.000496002, 5.62534e-05, 
94.1, 0.00048629, 5.11773e-05, 
94.6, 0.000477796, 4.71866e-05, 
95.1, 0.000474334, 4.81051e-05, 
95.6, 0.00047263, 5.0791e-05, 
96.1, 0.000467043, 4.96709e-05, 
96.6, 0.000457605, 4.468e-05, 
97.1, 0.000449909, 4.12952e-05, 
97.6, 0.000447112, 4.26974e-05, 
98.1, 0.000445471, 4.5276e-05, 
98.6, 0.000439731, 4.38261e-05, 
99.1, 0.000430604, 3.8957e-05, 
99.6, 0.000423695, 3.61669e-05, 
100.1, 0.00042149, 3.79821e-05, 
100.6, 0.000419855, 4.03967e-05, 
101.1, 0.000413973, 3.86278e-05, 
