Time, Ref, art-blood-Compound, art-blood-Marker, art-blood-Metabolite, bile-Metabolite, Atenolol-alcohol, Atenolol-ccl4, Atenolol, Diltiazem-alcohol, Diltiazem-ccl4, Diltiazem-normal, Sucrose-with-Atenolol, Sucrose-with-Diltiazem
0.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.31404e-07, 0, 0
2.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.62809e-07, 0, 0
3, 0, 0, 0, 0, 0, 0, 1.31605e-06, 0, 0.00113383, 0.000216934, 4.56189e-07, 0.00367638, 0
3.5, 0, 0, 0, 0, 0, 0, 2.63211e-06, 0, 0.00226766, 0.000433867, 4.4957e-07, 0.00735275, 0
4, 0, 0, 0, 0, 0, 2.47107e-06, 7.10411e-05, 2.08542e-08, 0.00229886, 0.00139705, 6.49803e-06, 0.00863096, 0
4.5, 0, 0.0028, 0.0026, 0, 0, 4.94214e-06, 0.00013945, 4.17085e-08, 0.00233007, 0.00236024, 1.25465e-05, 0.00990917, 0
5, 0, 0, 0.0002, 0, 0.0002, 3.69231e-05, 0.001308, 4.46557e-07, 0.00344309, 0.00479857, 0.000141473, 0.0403126, 0.00346702
5.5, 0, 0.0098, 0.0006, 0, 0, 6.8904e-05, 0.00247655, 8.51406e-07, 0.00455612, 0.00723691, 0.0002704, 0.070716, 0.00693404
6, 0, 0.0036, 0, 0, 0, 0.000292845, 0.00772026, 1.42735e-05, 0.00488898, 0.00809596, 0.000886539, 0.17127, 0.0247564
6.5, 0, 0, 0, 0, 0, 0.000516785, 0.012964, 2.76955e-05, 0.00522185, 0.00895502, 0.00150268, 0.271824, 0.0425787
7, -8.63957e-07, 0, 0, 0, 0, 0.00154626, 0.0246107, 0.000156067, 0.00513863, 0.00867301, 0.00251719, 0.301542, 0.0784889
7.5, 0.00282293, 0.0052, 0.0028, 0, 0.0003, 0.00257573, 0.0362574, 0.000284439, 0.00505542, 0.00839099, 0.00353171, 0.331259, 0.114399
8, 0.092039, 0.0082, 0.0016, 0, 0, 0.00574718, 0.0573754, 0.000872628, 0.0049618, 0.00797014, 0.00426835, 0.385581, 0.155329
8.5, 0.266188, 0.005, 0.0024, 0, 0.0001, 0.00891863, 0.0784934, 0.00146082, 0.00486818, 0.00754929, 0.005005, 0.439903, 0.196258
9, 0.399704, 0.0018, 0.0008, 0, 0, 0.0158307, 0.105922, 0.00312755, 0.00433767, 0.00734537, 0.00526331, 0.440948, 0.218467
9.5, 0.464933, 0, 0, 0, 0, 0.0227427, 0.13335, 0.00479428, 0.00380717, 0.00714146, 0.00552161, 0.441993, 0.240677
10, 0.479331, 0.0056, 0.0024, 0, 0.0004, 0.0341687, 0.152048, 0.00868219, 0.00380717, 0.00705034, 0.00551676, 0.440575, 0.260036
10.5, 0.463605, 0.0014, 0.0006, 0, 0, 0.0455947, 0.170746, 0.0125701, 0.00380717, 0.00695923, 0.00551192, 0.439158, 0.279396
11, 0.432484, 0, 0.0036, 0, 0.0002, 0.0607548, 0.172935, 0.0219054, 0.00380717, 0.00642557, 0.00532399, 0.406394, 0.268823
11.5, 0.394943, 0.0128, 0.0122, 0, 0.0002, 0.075915, 0.175124, 0.0312407, 0.00380717, 0.00589192, 0.00513606, 0.373631, 0.258249
12, 0.355973, 0.0868, 0.0482, 0, 0, 0.0926972, 0.167373, 0.0519222, 0.00380717, 0.00563594, 0.00480805, 0.350831, 0.255407
12.5, 0.318184, 0.007, 0.0022, 0, 0.0002, 0.109479, 0.159621, 0.0726037, 0.00380717, 0.00537995, 0.00448004, 0.328031, 0.252564
13, 0.282911, 0.0084, 0.0018, 0, 0.0002, 0.1253, 0.150424, 0.107278, 0.00380717, 0.00501117, 0.0041393, 0.297746, 0.238087
13.5, 0.250792, 0.0016, 0.001, 0, 0.0002, 0.141121, 0.141226, 0.141952, 0.00380717, 0.00464238, 0.00379855, 0.267462, 0.223609
14, 0.222001, 0.0168, 0.0092, 0.0003, 0, 0.153804, 0.133925, 0.182284, 0.00380717, 0.00486365, 0.00354286, 0.241582, 0.215709
14.5, 0.196391, 0.0022, 0.0028, 0, 0.0002, 0.166486, 0.126624, 0.222616, 0.00380717, 0.00508492, 0.00328718, 0.215702, 0.207809
15, 0.173677, 0.0204, 0.0252, 0, 0, 0.17475, 0.121118, 0.252569, 0.00380717, 0.00502418, 0.00312881, 0.204348, 0.198893
15.5, 0.153592, 0.0076, 0.0086, 0, 0.0002, 0.183014, 0.115612, 0.282523, 0.00380717, 0.00496344, 0.00297043, 0.192994, 0.189977
16, 0.135917, 0.002, 0.0024, 0, 0.0001, 0.186553, 0.111084, 0.290877, 0.00380717, 0.00455561, 0.0028775, 0.175129, 0.182059
16.5, 0.120414, 0.0178, 0.0136, 0.0002, 0, 0.190092, 0.106556, 0.299232, 0.00380717, 0.00414777, 0.00278457, 0.157264, 0.174142
17, 0.1068, 0.002, 0.003, 0, 0.0001, 0.189353, 0.102488, 0.286867, 0.00380717, 0.00403063, 0.00272516, 0.139619, 0.163329
17.5, 0.0948006, 0.01, 0.0062, 0, 0.0001, 0.188614, 0.0984204, 0.274502, 0.00380717, 0.00391348, 0.00266575, 0.121973, 0.152516
18, 0.0842168, 0.0024, 0, 0, 0.0002, 0.184488, 0.0946032, 0.250716, 0.00380717, 0.0038701, 0.00262125, 0.109857, 0.14124
18.5, 0.0749148, 0.0014, 0.0012, 0.0001, 0.0001, 0.180361, 0.0907861, 0.22693, 0.00380717, 0.00382671, 0.00257675, 0.0977415, 0.129964
19, 0.0667578, 0.0012, 0.0016, 0.0002, 0.0002, 0.173892, 0.0871621, 0.201644, 0.00380717, 0.0033575, 0.00253918, 0.0908827, 0.125032
19.5, 0.0595776, 0.001, 0.0012, 0, 0, 0.167423, 0.0835381, 0.176358, 0.00380717, 0.00288829, 0.00250162, 0.0840238, 0.1201
20, 0.0532169, 0.003, 0.0018, 0, 0, 0.159291, 0.0802513, 0.159817, 0.00380717, 0.00280994, 0.00246998, 0.0763803, 0.11089
20.5, 0.0475778, 0.0014, 0.0006, 0.0001, 0.0001, 0.151159, 0.0769645, 0.143277, 0.00380717, 0.0027316, 0.00243835, 0.0687368, 0.101681
21, 0.0426057, 0.001, 0.0008, 0, 0, 0.143027, 0.0736776, 0.126737, 0.00380717, 0.00265325, 0.00240671, 0.0610933, 0.092472
21.5, 0.0382346, 0.001, 0, 0, 0, 0.134894, 0.0703908, 0.110196, 0.00380717, 0.0025749, 0.00237508, 0.0534498, 0.0832627
22, 0.0343676, 0.0004, 0.002, 0, 0, 0.126762, 0.0671039, 0.093656, 0.00380717, 0.00249655, 0.00234344, 0.0458063, 0.0740535
22.5, 0.0309154, 0, 0, 0, 0, 0.119812, 0.064475, 0.0886078, 0.00380717, 0.00250636, 0.00231896, 0.0430819, 0.072919
23, 0.0278345, 0.0022, 0.002, 0, 0, 0.112862, 0.061846, 0.0835595, 0.00380717, 0.00251618, 0.00229447, 0.0403575, 0.0717845
23.5, 0.0251104, 0, 0, 0, 0, 0.105911, 0.0592171, 0.0785112, 0.00380717, 0.00252599, 0.00226999, 0.0376331, 0.0706499
24, 0.0227113, 0.0004, 0.0022, 0, 0.0001, 0.098961, 0.0565881, 0.0734629, 0.00380717, 0.00253581, 0.0022455, 0.0349088, 0.0695154
24.5, 0.0205767, 0, 0.0006, 0, 0, 0.0920107, 0.0539592, 0.0684147, 0.00380717, 0.00254562, 0.00222102, 0.0321844, 0.0683809
25, 0.0186532, 0.0022, 0.0124, 0, 0, 0.0850605, 0.0513302, 0.0633664, 0.00380717, 0.00255544, 0.00219654, 0.02946, 0.0672464
25.5, 0.016925, 0, 0, 0, 0.0001, 0.0781102, 0.0487013, 0.0583181, 0.00380717, 0.00256525, 0.00217205, 0.0267357, 0.0661118
26, 0.0153954, 0, 0, 0, 0, 0.0711599, 0.0460723, 0.0532699, 0.00380717, 0.00257507, 0.00214757, 0.0240113, 0.0649773
26.5, 0.0140481, 0.0014, 0.001, 0, 0, 0.0673059, 0.0441949, 0.0509928, 0.00380717, 0.00258328, 0.00212982, 0.0228195, 0.0622075
27, 0.0128414, 0.0016, 0.002, 0, 0, 0.0634519, 0.0423176, 0.0487157, 0.00380717, 0.00259149, 0.00211207, 0.0216277, 0.0594378
27.5, 0.0117417, 0.0006, 0.001, 0, 0, 0.0595979, 0.0404402, 0.0464385, 0.00380717, 0.00259971, 0.00209432, 0.0204359, 0.056668
28, 0.0107468, 0, 0.002, 0, 0, 0.0557439, 0.0385628, 0.0441614, 0.00380717, 0.00260792, 0.00207657, 0.019244, 0.0538982
28.5, 0.00986792, 0.0006, 0.0006, 0.0001, 0.0001, 0.0518899, 0.0366855, 0.0418843, 0.00380717, 0.00261614, 0.00205882, 0.0180522, 0.0511284
29, 0.00909527, 0.0012, 0.0016, 0, 0.0001, 0.0480359, 0.0348081, 0.0396072, 0.00380717, 0.00262435, 0.00204107, 0.0168604, 0.0483586
29.5, 0.00839736, 0.0008, 0.001, 0.0001, 0.0001, 0.0441819, 0.0329308, 0.0373301, 0.00380717, 0.00263256, 0.00202332, 0.0156686, 0.0455888
30, 0.00775191, 0, 0.0006, 0, 0.0001, 0.0403279, 0.0310534, 0.035053, 0.00380717, 0.00264078, 0.00200556, 0.0144768, 0.0428191
30.5, 0.00716432, 0.001, 0.002, 0, 0, 0.0384643, 0.0297724, 0.0334599, 0.00380717, 0.00262565, 0.00199284, 0.0139167, 0.0411403
31, 0.00664816, 0.0022, 0.003, 0.0001, 0, 0.0366007, 0.0284914, 0.0318669, 0.00380717, 0.00261051, 0.00198011, 0.0133567, 0.0394615
31.5, 0.00619624, 0.0006, 0.0006, 0, 0, 0.0347372, 0.0272104, 0.0302739, 0.00380717, 0.00259538, 0.00196738, 0.0127966, 0.0377827
32, 0.00578303, 0.0002, 0.0002, 0, 0.0001, 0.0328736, 0.0259294, 0.0286808, 0.00380717, 0.00258025, 0.00195465, 0.0122366, 0.0361039
32.5, 0.00539348, 0.0032, 0.0026, 0, 0.0001, 0.03101, 0.0246484, 0.0270878, 0.00380717, 0.00256511, 0.00194192, 0.0116765, 0.0344251
33, 0.00503697, 0.0014, 0.0006, 0, 0.0001, 0.0291465, 0.0233674, 0.0254948, 0.00380717, 0.00254998, 0.0019292, 0.0111165, 0.0327463
33.5, 0.00472722, 0.0004, 0.0006, 0, 0.0001, 0.0272829, 0.0220864, 0.0239017, 0.00380717, 0.00253485, 0.00191647, 0.0105564, 0.0310675
34, 0.00445767, 0.0006, 0.0006, 0, 0, 0.0254193, 0.0208054, 0.0223087, 0.00380717, 0.00251972, 0.00190374, 0.00999637, 0.0293887
34.5, 0.00420662, 0, 0.0002, 0, 0.0001, 0.0244607, 0.0199556, 0.0212617, 0.00380717, 0.00251931, 0.00189466, 0.00952215, 0.0285282
35, 0.00396398, 0.0014, 0.0016, 0, 0.0002, 0.023502, 0.0191058, 0.0202148, 0.00380717, 0.00251889, 0.00188558, 0.00904794, 0.0276678
35.5, 0.00374122, 0, 0.0006, 0, 0.0001, 0.0225434, 0.018256, 0.0191678, 0.00380717, 0.00251848, 0.00187651, 0.00857373, 0.0268073
36, 0.00355116, 0.0008, 0, 0, 0.0001, 0.0215848, 0.0174062, 0.0181209, 0.00380717, 0.00251807, 0.00186743, 0.00809951, 0.0259468
36.5, 0.00338696, 0.004, 0.0036, 0, 0, 0.0206262, 0.0165564, 0.0170739, 0.00380717, 0.00251766, 0.00185835, 0.0076253, 0.0250864
37, 0.00322968, 0.0026, 0, 0, 0, 0.0196675, 0.0157066, 0.016027, 0.00380717, 0.00251725, 0.00184928, 0.00715109, 0.0242259
37.5, 0.00307287, 0, 0, 0, 0, 0.0187089, 0.0148568, 0.01498, 0.00380717, 0.00251684, 0.0018402, 0.00667688, 0.0233654
38, 0.00292904, 0.0002, 0.0004, 0, 0.0001, 0.0177503, 0.014007, 0.013933, 0.00380717, 0.00251643, 0.00183112, 0.00620266, 0.022505
38.5, 0.0028096, 0.0002, 0.0004, 0, 0.0001, 0.0172464, 0.0135271, 0.0133789, 0.00380717, 0.00252856, 0.00182531, 0.00603009, 0.0217549
39, 0.0027071, 0.002, 0.0042, 0, 0, 0.0167425, 0.0130471, 0.0128248, 0.00380717, 0.00254069, 0.0018195, 0.00585751, 0.0210048
39.5, 0.00260479, 0.0008, 0, 0, 0, 0.0162387, 0.0125672, 0.0122706, 0.00380717, 0.00255282, 0.00181369, 0.00568493, 0.0202547
40, 0.002499, 0.0006, 0.001, 0, 0, 0.0157348, 0.0120872, 0.0117165, 0.00380717, 0.00256496, 0.00180789, 0.00551236, 0.0195046
40.5, 0.00240269, 0.001, 0.0012, 0, 0.0002, 0.0152309, 0.0116073, 0.0111624, 0.00380717, 0.00257709, 0.00180208, 0.00533978, 0.0187545
41, 0.00232562, 0.0008, 0.0022, 0, 0.0002, 0.0147271, 0.0111273, 0.0106082, 0.00380717, 0.00258922, 0.00179627, 0.0051672, 0.0180044
41.5, 0.00225969, 0, 0, 0, 0.0001, 0.0142232, 0.0106473, 0.0100541, 0.00380717, 0.00260135, 0.00179046, 0.00499462, 0.0172543
42, 0.00218998, 0.0004, 0.0004, 0, 0.0001, 0.0137193, 0.0101674, 0.00949998, 0.00380717, 0.00261348, 0.00178465, 0.00482205, 0.0165042
42.5, 0.00211509, 0.0008, 0, 0, 0.0001, 0.0132155, 0.00968742, 0.00894585, 0.00380717, 0.00262561, 0.00177884, 0.00464947, 0.0157541
43, 0.00204802, 0, 0, 0, 0, 0.0127116, 0.00920746, 0.00839172, 0.00380717, 0.00263774, 0.00177303, 0.00447689, 0.015004
43.5, 0.00199681, 0, 0.0004, 0, 0.0001, 0.0122077, 0.0087275, 0.00783759, 0.00380717, 0.00264988, 0.00176722, 0.00430432, 0.0142539
44, 0.00195276, 0, 0, 0, 0, 0.0117038, 0.00824755, 0.00728345, 0.00380717, 0.00266201, 0.00176141, 0.00413174, 0.0135038
44.5, 0.00190262, 0, 0, 0, 0, 0.0112, 0.00776759, 0.00672932, 0.00380717, 0.00267414, 0.0017556, 0.00395916, 0.0127537
45, 0.00184685, 0, 0, 0, 0, 0.0106961, 0.00728763, 0.00617519, 0.00380717, 0.00268627, 0.0017498, 0.00378659, 0.0120036
45.5, 0.00179822, 0, 0.0002, 0, 0.0001, 0.0104393, 0.00708791, 0.0059756, 0.00380717, 0.00268214, 0.0017467, 0.0037667, 0.0117321
46, 0.00176308, 0, 0.0004, 0, 0.0001, 0.0101824, 0.00688819, 0.00577602, 0.00380717, 0.00267801, 0.00174361, 0.00374681, 0.0114605
46.5, 0.00173224, 0.001, 0, 0, 0, 0.00992557, 0.00668847, 0.00557644, 0.00380717, 0.00267387, 0.00174052, 0.00372692, 0.011189
47, 0.00169398, 0, 0, 0, 0, 0.00966872, 0.00648875, 0.00537686, 0.00380717, 0.00266974, 0.00173743, 0.00370703, 0.0109174
47.5, 0.00165036, 0, 0, 0, 0, 0.00941187, 0.00628902, 0.00517727, 0.00380717, 0.00266561, 0.00173434, 0.00368714, 0.0106459
48, 0.0016137, 0, 0, 0, 0.0001, 0.00915503, 0.0060893, 0.00497769, 0.00380717, 0.00266148, 0.00173124, 0.00366725, 0.0103743
48.5, 0.00158875, 0.0002, 0, 0, 0, 0.00889818, 0.00588958, 0.00477811, 0.00380717, 0.00265734, 0.00172815, 0.00364736, 0.0101028
49, 0.00156592, 0.0004, 0, 0, 0, 0.00864134, 0.00568986, 0.00457853, 0.00380717, 0.00265321, 0.00172506, 0.00362747, 0.00983125
49.5, 0.001535, 0.0008, 0.0006, 0, 0.0001, 0.00838449, 0.00549014, 0.00437894, 0.00380717, 0.00264908, 0.00172197, 0.00360758, 0.0095597
50, 0.00149936, 0.0006, 0.0026, 0, 0, 0.00812765, 0.00529042, 0.00417936, 0.00380717, 0.00264495, 0.00171888, 0.00358769, 0.00928816
50.5, 0.00147075, 0, 0.0002, 0, 0, 0.0078708, 0.0050907, 0.00397978, 0.00380717, 0.00264082, 0.00171578, 0.0035678, 0.00901661
51, 0.00145237, 0.0012, 0.0018, 0, 0.0001, 0.00761395, 0.00489098, 0.00378019, 0.00380717, 0.00263668, 0.00171269, 0.00354791, 0.00874506
51.5, 0.00143444, 0, 0, 0, 0, 0.00735711, 0.00469126, 0.00358061, 0.00380717, 0.00263255, 0.0017096, 0.00352802, 0.00847351
52, 0.00140813, 0.0008, 0.0016, 0.0001, 0, 0.00710026, 0.00449154, 0.00338103, 0.00380717, 0.00262842, 0.00170651, 0.00350813, 0.00820197
52.5, 0.00137795, 0.0012, 0.0008, 0.0001, 0, 0.00684342, 0.00429181, 0.00318145, 0.00380717, 0.00262429, 0.00170342, 0.00348824, 0.00793042
53, 0.00135495, 0.0002, 0.0002, 0.0001, 0, 0.00658657, 0.00409209, 0.00298186, 0.00380717, 0.00262015, 0.00170032, 0.00346835, 0.00765887
53.5, 0.00134093, 0.0026, 0.0028, 0, 0, 0.00632972, 0.00389237, 0.00278228, 0.00380717, 0.00261602, 0.00169723, 0.00344846, 0.00738732
54, 0.00132597, 0, 0, 0, 0, 0.00607288, 0.00369265, 0.0025827, 0.00380717, 0.00261189, 0.00169414, 0.00342857, 0.00711578
54.5, 0.00130266, 0.015, 0.01, 0, 0, 0.00581603, 0.00349293, 0.00238312, 0.00380717, 0.00260776, 0.00169105, 0.00340868, 0.00684423
55, 0.00127641, 0.0028, 0.0026, 0.0003, 0.0001, 0.00555919, 0.00329321, 0.00218353, 0.00380717, 0.00260362, 0.00168796, 0.00338879, 0.00657268
55.5, 0.0012575, 0, 0, 0, 0, 0.00542808, 0.00321651, 0.0021212, 0.00380717, 0.00260429, 0.00168606, 0.00331572, 0.00638408
56, 0.0012464, 0.0026, 0.0028, 0, 0, 0.00529697, 0.0031398, 0.00205887, 0.00380717, 0.00260495, 0.00168415, 0.00324265, 0.00619549
56.5, 0.00123326, 0.0012, 0.0014, 0, 0.0001, 0.00516586, 0.0030631, 0.00199654, 0.00380717, 0.00260561, 0.00168225, 0.00316959, 0.00600689
57, 0.00121196, 0, 0.0004, 0, 0.0001, 0.00503475, 0.0029864, 0.00193421, 0.00380717, 0.00260627, 0.00168035, 0.00309652, 0.00581829
57.5, 0.0011887, 0.0026, 0.0028, 0, 0, 0.00490364, 0.00290969, 0.00187188, 0.00380717, 0.00260693, 0.00167845, 0.00302345, 0.0056297
58, 0.00117289, 0, 0, 0, 0.0002, 0.00477254, 0.00283299, 0.00180955, 0.00380717, 0.00260759, 0.00167655, 0.00295038, 0.0054411
58.5, 0.00116382, 0, 0, 0, 0.0001, 0.00464143, 0.00275629, 0.00174722, 0.00380717, 0.00260825, 0.00167465, 0.00287731, 0.0052525
59, 0.00115176, 0.0022, 0.0036, 0, 0, 0.00451032, 0.00267959, 0.00168489, 0.00380717, 0.00260892, 0.00167275, 0.00280424, 0.0050639
59.5, 0.00113191, 0.0044, 0.0096, 0, 0.0001, 0.00437921, 0.00260288, 0.00162256, 0.00380717, 0.00260958, 0.00167085, 0.00273117, 0.00487531
60, 0.00111103, 0.001, 0.0016, 0, 0.0002, 0.0042481, 0.00252618, 0.00156023, 0.00380717, 0.00261024, 0.00166895, 0.0026581, 0.00468671
60.5, 0.00109768, 0.0024, 0.0014, 0, 0.0001, 0.00411699, 0.00244948, 0.0014979, 0.00380717, 0.0026109, 0.00166705, 0.00258504, 0.00449811
61, 0.00109001, 0, 0.0078, 0, 0, 0.00398589, 0.00237277, 0.00143557, 0.00380717, 0.00261156, 0.00166515, 0.00251197, 0.00430952
61.5, 0.0010786, 0.0006, 0, 0, 0, 0.00385478, 0.00229607, 0.00137324, 0.00380717, 0.00261222, 0.00166325, 0.0024389, 0.00412092
62, 0.00105985, 0.0006, 0.0026, 0, 0, 0.00372367, 0.00221937, 0.00131091, 0.00380717, 0.00261288, 0.00166135, 0.00236583, 0.00393232
62.5, 0.001041, 0.0014, 0.0008, 0, 0, 0.00359256, 0.00214266, 0.00124858, 0.00380717, 0.00261354, 0.00165944, 0.00229276, 0.00374372
63, 0.00102963, 0.0006, 0.0026, 0, 0, 0.00346145, 0.00206596, 0.00118625, 0.00380717, 0.00261421, 0.00165754, 0.00221969, 0.00355513
63.5, 0.00102296, 0, 0.0006, 0, 0, 0.00333034, 0.00198926, 0.00112392, 0.00380717, 0.00261487, 0.00165564, 0.00214662, 0.00336653
64, 0.00101192, 0, 0, 0, 0.0001, 0.00319923, 0.00191256, 0.00106159, 0.00380717, 0.00261553, 0.00165374, 0.00207356, 0.00317793
64.5, 0.000994082, 0.0006, 0.001, 0, 0.0001, 0.00306813, 0.00183585, 0.000999259, 0.00380717, 0.00261619, 0.00165184, 0.00200049, 0.00298934
65, 0.000976998, 0.001, 0.0018, 0, 0, 0.00293702, 0.00175915, 0.000936929, 0.00380717, 0.00261685, 0.00164994, 0.00192742, 0.00280074
65.5, 0.000967301, 0.0008, 0.0006, 0, 0, 0.00286858, 0.00172357, 0.000913434, 0.00380717, 0.00261427, 0.00164836, 0.00189895, 0.00274694
66, 0.000961336, 0.0008, 0.001, 0, 0, 0.00280014, 0.00168798, 0.000889939, 0.00380717, 0.00261169, 0.00164678, 0.00187047, 0.00269314
66.5, 0.000950491, 0, 0, 0, 0, 0.00273171, 0.0016524, 0.000866444, 0.00380717, 0.0026091, 0.0016452, 0.001842, 0.00263935
67, 0.000933465, 0.0006, 0.0012, 0, 0, 0.00266327, 0.00161682, 0.000842949, 0.00380717, 0.00260652, 0.00164362, 0.00181352, 0.00258555
67.5, 0.000917982, 0.0004, 0.0014, 0, 0, 0.00259483, 0.00158124, 0.000819454, 0.00380717, 0.00260394, 0.00164204, 0.00178505, 0.00253175
68, 0.0009097, 0.0006, 0.0012, 0, 0.0001, 0.0025264, 0.00154565, 0.00079596, 0.00380717, 0.00260136, 0.00164046, 0.00175658, 0.00247795
68.5, 0.000904226, 0, 0.0014, 0, 0.0001, 0.00245796, 0.00151007, 0.000772465, 0.00380717, 0.00259878, 0.00163888, 0.0017281, 0.00242415
69, 0.000893487, 0.0002, 0.0008, 0, 0.0001, 0.00238952, 0.00147449, 0.00074897, 0.00380717, 0.00259619, 0.0016373, 0.00169963, 0.00237036
69.5, 0.000877219, 0, 0.0006, 0, 0, 0.00232109, 0.00143891, 0.000725475, 0.00380717, 0.00259361, 0.00163572, 0.00167116, 0.00231656
70, 0.000863212, 0.0016, 0.0004, 0, 0, 0.00225265, 0.00140332, 0.00070198, 0.00380717, 0.00259103, 0.00163413, 0.00164268, 0.00226276
70.5, 0.000856147, 0, 0.0012, 0, 0, 0.00218421, 0.00136774, 0.000678485, 0.00380717, 0.00258845, 0.00163255, 0.00161421, 0.00220896
71, 0.000851003, 0, 0, 0, 0, 0.00211577, 0.00133216, 0.00065499, 0.00380717, 0.00258587, 0.00163097, 0.00158573, 0.00215516
71.5, 0.000840319, 0.0004, 0.0008, 0, 0.0001, 0.00204734, 0.00129658, 0.000631495, 0.00380717, 0.00258328, 0.00162939, 0.00155726, 0.00210137
72, 0.00082479, 0, 0.002, 0, 0.0002, 0.0019789, 0.00126099, 0.000608, 0.00380717, 0.0025807, 0.00162781, 0.00152879, 0.00204757
72.5, 0.000812164, 0.0008, 0.001, 0, 0, 0.00191046, 0.00122541, 0.000584505, 0.00380717, 0.00257812, 0.00162623, 0.00150031, 0.00199377
73, 0.000806147, 0.0004, 0.001, 0, 0, 0.00184203, 0.00118983, 0.000561011, 0.00380717, 0.00257554, 0.00162465, 0.00147184, 0.00193997
73.5, 0.000801212, 0.0012, 0.001, 0, 0, 0.00177359, 0.00115425, 0.000537516, 0.00380717, 0.00257295, 0.00162307, 0.00144337, 0.00188617
74, 0.00079056, 0.001, 0.001, 0, 0.0001, 0.00170515, 0.00111866, 0.000514021, 0.00380717, 0.00257037, 0.00162149, 0.00141489, 0.00183238
74.5, 0.00077577, 0.0026, 0.0008, 0, 0, 0.00163672, 0.00108308, 0.000490526, 0.00380717, 0.00256779, 0.00161991, 0.00138642, 0.00177858
75, 0.000764442, 0.0012, 0, 0, 0, 0.00156828, 0.0010475, 0.000467031, 0.00380717, 0.00256521, 0.00161833, 0.00135795, 0.00172478
75.5, 0.000759331, 0.0006, 0.0008, 0, 0.0001, 0.00153213, 0.00102796, 0.000456314, 0.00380717, 0.00256975, 0.00161669, 0.00131858, 0.00168487
76, 0.000754508, 0.0006, 0.0012, 0, 0, 0.00149598, 0.00100842, 0.000445596, 0.00380717, 0.0025743, 0.00161506, 0.00127922, 0.00164496
76.5, 0.000743885, 0, 0.0018, 0, 0, 0.00145983, 0.000988879, 0.000434879, 0.00380717, 0.00257884, 0.00161342, 0.00123986, 0.00160505
77, 0.000729844, 0.0008, 0.001, 0, 0, 0.00142368, 0.000969339, 0.000424161, 0.00380717, 0.00258339, 0.00161179, 0.0012005, 0.00156513
77.5, 0.000719741, 0.0008, 0.0006, 0, 0, 0.00138753, 0.000949799, 0.000413444, 0.00380717, 0.00258793, 0.00161015, 0.00116114, 0.00152522
78, 0.000715407, 0.0004, 0.0008, 0, 0, 0.00135138, 0.000930259, 0.000402726, 0.00380717, 0.00259248, 0.00160852, 0.00112178, 0.00148531
78.5, 0.00071062, 0, 0.0032, 0, 0, 0.00131523, 0.000910719, 0.000392009, 0.00380717, 0.00259702, 0.00160688, 0.00108242, 0.0014454
79, 0.000700039, 0.0012, 0.0012, 0, 0, 0.00127908, 0.000891178, 0.000381291, 0.00380717, 0.00260157, 0.00160525, 0.00104306, 0.00140549
79.5, 0.000686759, 0.0012, 0.001, 0, 0.0004, 0.00124293, 0.000871638, 0.000370574, 0.00380717, 0.00260611, 0.00160361, 0.0010037, 0.00136557
80, 0.000677813, 0, 0.0008, 0, 0, 0.00120678, 0.000852098, 0.000359856, 0.00380717, 0.00261066, 0.00160198, 0.000964337, 0.00132566
80.5, 0.000674138, 0.0018, 0.0018, 0, 0.0002, 0.00117063, 0.000832558, 0.000349139, 0.00380717, 0.0026152, 0.00160034, 0.000924977, 0.00128575
81, 0.000669327, 0.0012, 0.0024, 0, 0, 0.00113448, 0.000813018, 0.000338422, 0.00380717, 0.00261975, 0.00159871, 0.000885616, 0.00124584
