Time, art-blood-Compound, art-blood-Marker, art-blood-Metabolite, bile-Metabolite
0.5, 0, 0, 0, 0
1, 0, 0, 0, 0
1.5, 0, 0, 0, 0
2, 0, 0, 0, 0
2.5, 0, 0, 0, 0
3, 0, 0, 0, 0
3.5, 0, 0, 0, 0
4, 0, 0, 0, 0
4.5, 0, 0, 0, 0
5, 0, 0, 0, 0
5.5, 0.0036, 0.0008, 0, 0
6, 0.0006, 0.0004, 0, 0
6.5, 0.0008, 0.0008, 0, 0
7, 0, 0.0006, 0, 0
7.5, 0.0006, 0.0004, 0, 0
8, 0.0016, 0.0016, 0, 0
8.5, 0.0008, 0.0012, 0, 0
9, 0.0078, 0.003, 0, 0
9.5, 0.0032, 0.0016, 0, 0.0001
10, 0.0004, 0.0012, 0, 0
10.5, 0, 0.001, 0, 0
11, 0.0014, 0.0006, 0, 0
11.5, 0.0016, 0.0014, 0, 0
12, 0.0028, 0, 0.0001, 0
12.5, 0.0154, 0.0028, 0, 0.0001
13, 0.0114, 0.0056, 0, 0
13.5, 0.0032, 0.001, 0, 0.0001
14, 0.005, 0.0024, 0, 0.0001
14.5, 0.0052, 0.0034, 0.0001, 0
15, 0, 0, 0, 0
15.5, 0.0038, 0.0012, 0, 0
16, 0.0386, 0.0124, 0, 0
16.5, 0.0024, 0.004, 0, 0
17, 0.0008, 0.001, 0, 0
17.5, 0.0012, 0.0032, 0, 0.0001
18, 0.0014, 0.001, 0.0001, 0
18.5, 0, 0, 0, 0.0001
19, 0.0006, 0.0016, 0, 0.0001
19.5, 0.0012, 0.0008, 0, 0
20, 0.0018, 0.0018, 0, 0.0001
20.5, 0.0008, 0, 0, 0
21, 0.0008, 0.0014, 0, 0.0001
21.5, 0.0036, 0.0024, 0.0001, 0.0001
22, 0.0068, 0.0032, 0.0001, 0
22.5, 0.0006, 0, 0, 0.0003
23, 0.0004, 0.0002, 0, 0.0001
23.5, 0.0022, 0.0036, 0, 0.0003
24, 0.0026, 0.0026, 0, 0.0001
24.5, 0.001, 0.0018, 0, 0.0001
25, 0.0014, 0.0018, 0, 0.0001
25.5, 0.0016, 0.0016, 0, 0
26, 0.0006, 0.0008, 0, 0.0001
26.5, 0.0034, 0.0048, 0, 0
27, 0.0006, 0.0014, 0, 0
27.5, 0.0008, 0.0018, 0, 0
28, 0.0034, 0.0018, 0, 0.0001
28.5, 0.0006, 0.0002, 0, 0.0001
29, 0.0006, 0.0002, 0, 0.0001
29.5, 0.0006, 0.0002, 0, 0.0002
30, 0.0004, 0.0004, 0, 0
30.5, 0.0016, 0.0006, 0, 0
31, 0.001, 0.0014, 0, 0
31.5, 0.0038, 0.0034, 0, 0
32, 0.0014, 0.0012, 0, 0
32.5, 0, 0.0008, 0, 0.0001
33, 0.0006, 0.0014, 0, 0
33.5, 0.0014, 0.0024, 0, 0.0001
34, 0.0014, 0.001, 0, 0.0003
34.5, 0, 0, 0, 0
35, 0, 0.0014, 0, 0.0002
35.5, 0.0442, 0.029, 0, 0
36, 0.0014, 0.001, 0, 0.0002
36.5, 0, 0, 0, 0.0002
37, 0.0018, 0.0026, 0.0002, 0.0001
37.5, 0.0008, 0.0004, 0, 0
38, 0.001, 0.001, 0, 0.0002
38.5, 0.0016, 0.0014, 0, 0
39, 0.0012, 0.0008, 0, 0
39.5, 0.0024, 0.0016, 0, 0.0001
40, 0.0024, 0.0002, 0, 0.0001
40.5, 0.0088, 0, 0, 0.0001
41, 0.0028, 0.0014, 0, 0.0001
41.5, 0.0028, 0.0024, 0, 0
42, 0.0056, 0.0056, 0, 0
42.5, 0.0022, 0.0014, 0, 0
43, 0.003, 0.0018, 0, 0
43.5, 0.0046, 0.0072, 0, 0.0001
44, 0, 0, 0, 0.0001
44.5, 0.0028, 0.0022, 0, 0
45, 0.002, 0.001, 0, 0.0002
45.5, 0.0022, 0.001, 0.0001, 0.0002
46, 0.0016, 0.001, 0, 0
46.5, 0.0008, 0.0006, 0, 0
47, 0.0016, 0.0014, 0, 0.0001
47.5, 0.0042, 0.0054, 0, 0.0002
48, 0.0014, 0.001, 0, 0.0001
48.5, 0.0038, 0.0068, 0, 0
49, 0, 0, 0, 0
49.5, 0.0012, 0.0008, 0, 0.0002
50, 0.001, 0.0016, 0, 0.0001
50.5, 0.0022, 0.0028, 0, 0.0001
